,total_reads,counts,deltatime,density
836,376929.0,400,1044000.0,0.0003831417624521073
837,318740.0,400,1333980.0,0.00029985457053329135
838,547534.0,400,4151640.0,9.634746750681659e-05
839,561981.0,399,1249560.0,0.0003193123979640834
848,423384.0,400,2449740.0,0.0001632826340754529
850,441412.0,400,2175960.0,0.00018382690858287837
851,541787.0,400,1664880.0,0.00024025755610013934
852,323430.0,399,1227300.0,0.0003251038865802982
856,956803.0,400,3474240.0,0.00011513309385649812
858,747646.0,395,202920.0,0.0019465799329785136
859,326241.0,402,125700.0,0.003198090692124105
860,599151.0,400,1739940.0,0.00022989298481556836
861,594591.0,399,4264140.0,9.357103659823551e-05
862,330208.0,400,649980.0,0.0006154035508784886
863,1000102.0,399,7176360.0,5.559921743056369e-05
868,332922.0,400,475980.0,0.0008403714441783268
869,450414.0,400,2986200.0,0.00013394950103810864
875,439267.0,400,2259060.0,0.0001770647968624118
876,449685.0,395,435900.0,0.0009061711401697637
877,369865.0,400,1077960.0,0.00037107128279342464
878,441689.0,400,1728300.0,0.00023144130070010992
880,505568.0,400,4185720.0,9.556300947029424e-05
881,820454.0,400,4141440.0,9.658476278782259e-05
882,451303.0,399,1860060.0,0.00021450920938034256
883,580189.0,400,4422720.0,9.044208089139715e-05
885,643224.0,400,3138120.0,0.00012746485156718036
886,540584.0,400,3397080.0,0.0001177481837342659
887,410241.0,400,2244180.0,0.0001782388221978629
888,993511.0,400,8324280.0,4.805220391433253e-05
889,480668.0,400,2335380.0,0.0001712783358596888
890,342359.0,400,1662240.0,0.000240639137549331
892,813004.0,399,3020520.0,0.0001320964602121489
893,702059.0,400,4814220.0,8.308718754024536e-05
895,505095.0,400,562860.0,0.0007106562910848168
897,427293.0,400,1991160.0,0.0002008879246268507
898,489689.0,400,1419480.0,0.00028179333276974667
899,679424.0,400,6050460.0,6.611067588249488e-05
900,421330.0,400,2275200.0,0.00017580872011251758
901,462132.0,397,2534580.0,0.00015663344617254142
902,409554.0,400,1757040.0,0.0002276556026043801
903,617318.0,400,3136620.0,0.00012752580803540117
905,709158.0,400,6763200.0,5.914360066240833e-05
906,529530.0,400,3044040.0,0.0001314043179458877
908,353220.0,399,634920.0,0.0006284256284256284
909,443010.0,400,2878800.0,0.00013894678338196472
910,350926.0,400,1306080.0,0.00030625995344848707
911,656545.0,399,4267260.0,9.350262229158758e-05
912,378325.0,400,1855020.0,0.00021563109831699927
913,346852.0,400,2023980.0,0.00019763041136770126
915,414904.0,400,2877540.0,0.00013900762456820756
917,423319.0,400,1041840.0,0.0003839361130307917
918,580944.0,400,1327620.0,0.00030129103207243035
919,906207.0,400,7188840.0,5.5641800346092e-05
920,781843.0,400,4765680.0,8.393345755485052e-05
921,421540.0,400,2440680.0,0.00016388875231492862
922,366863.0,400,1348200.0,0.0002966918854769322
923,649506.0,400,3972060.0,0.00010070341334219523
925,640849.0,400,4345260.0,9.205433046584094e-05
926,443319.0,400,2015100.0,0.00019850131507121235
927,367907.0,400,634320.0,0.0006305965443309371
928,460519.0,397,2976480.0,0.00013337902488845885
929,934073.0,397,7693980.0,5.159878242470087e-05
930,344318.0,400,1241100.0,0.00032229473853839335
931,415468.0,400,2022000.0,0.00019782393669634025
932,350770.0,400,734400.0,0.0005446623093681918
933,311418.0,400,651240.0,0.0006142128861863522
935,405294.0,400,453180.0,0.0008826514850611236
936,395378.0,400,2012160.0,0.0001987913486005089
937,520903.0,400,3700500.0,0.0001080935008782597
938,598909.0,400,820140.0,0.0004877216085058649
939,897466.0,400,2083500.0,0.0001919846412287017
948,588907.0,400,2872500.0,0.0001392515230635335
949,361391.0,400,1394820.0,0.00028677535452603203
950,492081.0,399,3462420.0,0.00011523731956261805
951,469938.0,400,2377260.0,0.00016826093906430092
952,748727.0,400,6692160.0,5.9771434036245395e-05
953,370305.0,400,806880.0,0.00049573666468372
955,398500.0,400,2019960.0,0.0001980237232420444
957,452126.0,400,1761780.0,0.0002270431041333197
958,319498.0,400,733080.0,0.0005456430403230207
959,500571.0,400,2546400.0,0.00015708451146716933
960,441399.0,400,2367480.0,0.00016895602074779934
961,411016.0,399,2287080.0,0.00017445826118893962
962,440977.0,400,3045420.0,0.00013134477346310198
963,349160.0,400,134640.0,0.0029708853238265003
965,596656.0,400,2433420.0,0.00016437770709536374
966,584372.0,400,4256100.0,9.398275416461079e-05
967,515212.0,398,2538840.0,0.00015676450662507286
968,667544.0,398,3761640.0,0.00010580491487755341
969,439986.0,400,2977920.0,0.00013432194283258112
970,384896.0,400,1906680.0,0.0002097887427360648
971,498415.0,399,2477640.0,0.0001610403448442873
972,593496.0,400,2290020.0,0.00017467096357237055
973,380974.0,397,723960.0,0.000548372838278358
975,305143.0,397,809580.0,0.0004903777267224981
976,571486.0,400,4175220.0,9.580333491408836e-05
977,469925.0,400,466200.0,0.000858000858000858
978,603122.0,400,4006980.0,9.982580397206874e-05
980,422593.0,400,639900.0,0.0006250976715111736
981,265285.0,399,195720.0,0.00203862660944206
982,490591.0,400,107760.0,0.003711952487008166
983,486984.0,400,2978940.0,0.00013427595050588464
985,935747.0,400,8298960.0,4.819881045335801e-05
987,465380.0,400,1855140.0,0.00021561715018812597
988,499439.0,397,1063140.0,0.00037342212690708655
989,763891.0,400,2298660.0,0.0001740144257958985
990,391954.0,400,1156500.0,0.0003458711629917856
993,325398.0,400,2023740.0,0.00019765384881457104
995,948034.0,400,4848720.0,8.249599894405122e-05
996,762102.0,400,1162620.0,0.000344050506614371
997,1506551.0,400,1007400.0,0.0003970617431010522
998,437667.0,400,1238760.0,0.0003229035487100003
999,687195.0,400,1402080.0,0.00028529042565331506
